hgnc	chrom	lof_indel	lof_snv	missense_indel	missense_snv	p_lof	p_func	fdr_lof	bonferroni_lof
A1CF	10	0	0	0	1	1	3.74800976264519e-05	1	1
AAAS	12	0	0	0	1	1	3.9560038152986e-05	1	1
AACS	12	0	0	0	1	1	4.83688898838149e-05	1	1
AAK1	2	0	0	0	1	1	5.26659871112318e-05	1	1
ABAT	16	0	0	0	1	1	3.97656380717786e-05	1	1
ABCA1	9	0	0	0	1	1	0.00014812145755545	1	1
ABCA13	7	0	0	0	2	1	3.75811066278322e-08	1	1
ABCA4	1	0	0	0	2	1	1.27537673520437e-08	1	1
ABCA7	19	0	0	0	1	1	0.000182341096152021	1	1
ABCA8	17	0	0	0	1	1	9.49924870131659e-05	1	1
ABCB6	2	0	0	0	1	1	7.10670210725386e-05	1	1
ABCC1	16	0	0	0	1	1	0.000123680715379446	1	1
ABCC2	10	0	0	0	1	1	9.63163897125807e-05	1	1
ABCC3	17	0	1	0	0	1.34843408650756e-05	0.000112804459705684	9.40357010414736e-05	0.0341693197521015
ABCD3	1	0	0	0	1	1	4.7033914575812e-05	1	1
ABCE1	4	0	0	0	1	1	3.83206853313449e-05	1	1
ABCG1	21	0	0	0	1	1	5.55864240056244e-05	1	1
ABHD12B	14	0	0	0	1	1	1.66204622582599e-05	1	1
ABI1	10	0	1	0	0	5.07671639739401e-06	3.21523714412775e-05	6.28181832348908e-05	0.0128643993509964
ABI2	2	0	0	0	2	1	5.50701311910158e-10	1	1
ABL2	1	0	0	0	1	1	7.42198191759903e-05	1	1
ABLIM3	5	0	0	0	1	1	5.49228993425255e-05	1	1
ABR	17	0	0	0	1	1	6.30238996298115e-05	1	1
ACADVL	17	0	0	0	1	1	4.78951783804137e-05	1	1
ACAN	15	0	0	0	1	1	0.000160532534328239	1	1
ACAP2	3	0	0	0	1	1	4.88495328136119e-05	1	1
ACBD3	1	0	1	0	0	5.31065032948326e-06	2.98413600253247e-05	6.29388270054187e-05	0.0134571879349106
ACE	17	0	0	0	1	1	9.59264361622929e-05	1	1
ACE2	X	0	0	0	1	1	1.07298578846397e-05	1	1
ACER1	19	0	0	0	1	1	2.03601168169222e-05	1	1
ACER3	11	0	0	0	1	1	1.42386537516886e-05	1	1
ACHE	7	1	0	0	0	5.55855098698184e-06	5.43531740579666e-05	6.33407054906252e-05	0.014085368201012
ACOX3	4	0	0	0	1	1	5.26283571373783e-05	1	1
ACSL1	4	0	0	0	1	1	5.12366448152641e-05	1	1
ACSL6	5	0	1	0	0	7.40561186893915e-06	5.19945611302312e-05	6.84883958974154e-05	0.0187658204758918
ACSM5	16	0	0	0	1	1	4.17634849331408e-05	1	1
ACTB	7	1	0	0	2	2.81089913877602e-06	7.64746042177286e-15	6.07946138686368e-05	0.00712281841765842
ACTC1	15	0	0	0	2	1	4.58112999928366e-10	1	1
ACTG1	17	0	0	0	1	1	3.64751042632449e-05	1	1
ACTN2	1	0	0	0	1	1	7.26628704524703e-05	1	1
ACTRT3	3	0	0	0	1	1	2.49239920472768e-05	1	1
ACY3	11	0	0	0	1	1	2.60448842783908e-05	1	1
ADAM18	8	0	0	0	1	1	4.27444134308015e-05	1	1
ADAM32	8	0	0	0	1	1	3.97326606598308e-05	1	1
ADAM33	20	0	0	0	1	1	5.6781651652013e-05	1	1
ADAM7	8	0	0	0	1	1	4.57210971086008e-05	1	1
ADAMTS14	10	0	0	0	1	1	9.79646133806042e-05	1	1
ADAMTS15	11	0	0	0	1	1	9.07790093737526e-05	1	1
ADAMTS16	5	0	0	0	2	1	4.2455254205402e-09	1	1
ADAMTS17	15	0	0	0	1	1	8.00709720421825e-05	1	1
ADAMTS2	5	0	0	0	1	1	0.000103554783327753	1	1
ADAMTS5	21	0	0	0	1	1	7.71623774998714e-05	1	1
ADAMTSL2	9	0	0	0	2	1	1.90704067418223e-09	1	1
ADAP1	7	0	0	0	1	1	2.73629760192869e-05	1	1
ADAT1	16	0	0	0	1	1	3.16593724390042e-05	1	1
ADCK5	8	0	0	0	1	1	4.01967773314197e-05	1	1
ADCY5	3	0	0	0	1	1	0.000103398011698691	1	1
ADCY6	12	0	0	0	1	1	0.000100873802331719	1	1
ADH1B	4	0	0	0	1	1	2.46611830088522e-05	1	1
ADH5	4	0	0	0	1	1	2.24248593080376e-05	1	1
ADNP	20	2	2	0	0	2.63943240428195e-22	7.60864274462175e-19	1.11472028540841e-19	6.68832171245045e-19
ADRA2B	2	0	0	0	1	1	4.09630226260607e-05	1	1
AFF2	X	0	0	0	1	1	1.86331497334661e-05	1	1
AFTPH	2	0	0	0	1	1	5.08210161036297e-05	1	1
AGAP1	2	0	0	0	3	1	8.29540513301197e-14	1	1
AGAP3	7	0	0	0	1	1	8.22393307588553e-05	1	1
AGAP8	10	0	0	0	1	1	4.7465041929232e-05	1	1
AGBL4	1	0	0	0	1	1	1.69405761729218e-05	1	1
AGO1	1	0	0	0	2	1	2.48205874784578e-09	1	1
AGO2	8	0	0	0	1	1	7.82529484241057e-05	1	1
AGO3	1	0	0	0	2	1	1.88065986313475e-09	1	1
AGPS	2	0	0	0	1	1	3.46191140985787e-05	1	1
AGTR2	X	0	0	0	1	1	4.96456943346196e-06	1	1
AHCY	20	0	0	0	1	1	3.4372458824478e-05	1	1
AHDC1	1	1	0	0	0	1.15153270974635e-05	0.000139586451792038	8.45804656525569e-05	0.0291798388649724
AHNAK	11	0	1	0	4	3.39314367068933e-05	3.27221329461759e-20	0.000203749432737601	0.0859822606152676
AHNAK2	14	0	0	0	1	1	0.00039396221457856	1	1
AIFM1	X	0	1	0	0	7.86161857664898e-07	4.94732336163519e-06	3.98358460222423e-05	0.00199213414732285
AIFM2	10	0	0	0	1	1	3.09590832665665e-05	1	1
AIPL1	17	0	0	0	1	1	3.31116610308483e-05	1	1
AKAP12	6	2	0	0	0	7.81504027764704e-11	5.91063868939611e-09	6.10314137502161e-09	1.98033120635576e-07
AKAP13	15	0	0	0	3	1	9.69297021330979e-13	1	1
AKAP6	14	0	0	0	2	1	8.93532081047554e-09	1	1
AKNA	9	0	0	0	1	1	9.80018103173154e-05	1	1
AKR7A3	1	0	0	0	1	1	2.67971151768166e-05	1	1
AKT1S1	19	0	0	0	1	1	1.12962840025973e-05	1	1
ALAS1	3	0	0	0	1	1	4.44219601352907e-05	1	1
ALDH1A2	15	1	0	0	1	4.52404921446265e-06	4.88312581567039e-10	6.11032225490884e-05	0.0114639407094484
ALDH3A2	17	0	0	0	1	1	3.08499855901976e-05	1	1
ALDOB	9	0	0	0	2	1	3.07999403888471e-10	1	1
ALG13	X	0	0	0	1	1	1.32341946661661e-05	1	1
ALG14	1	0	0	0	1	1	1.68775689388201e-05	1	1
