hgnc	chrom	lof_indel	lof_snv	missense_indel	missense_snv	p_lof	p_func
A1CF	10	0	0	0	1	1.0	3.7480097626451885e-05
AAAS	12	0	0	0	1	1.0	3.9560038152985986e-05
AACS	12	0	0	0	1	1.0	4.8368889883814926e-05
AAK1	2	0	0	0	1	1.0	5.266598711123185e-05
ABAT	16	0	0	0	1	1.0	3.976563807177858e-05
ABCA1	9	0	0	0	1	1.0	0.0001481214575554502
ABCA13	7	0	0	0	2	1.0	3.75811066278322e-08
ABCA4	1	0	0	0	2	1.0	1.2753767352043681e-08
ABCA7	19	0	0	0	1	1.0	0.00018234109615202117
ABCA8	17	0	0	0	1	1.0	9.499248701316588e-05
ABCB6	2	0	0	0	1	1.0	7.106702107253856e-05
ABCC1	16	0	0	0	1	1.0	0.00012368071537944566
ABCC2	10	0	0	0	1	1.0	9.631638971258075e-05
ABCC3	17	0	1	0	0	1.3484340865075566e-05	0.00011280445970568412
ABCD3	1	0	0	0	1	1.0	4.7033914575812024e-05
ABCE1	4	0	0	0	1	1.0	3.832068533134488e-05
ABCG1	21	0	0	0	1	1.0	5.558642400562438e-05
ABHD12B	14	0	0	0	1	1.0	1.6620462258259916e-05
ABI1	10	0	1	0	0	5.076716397394009e-06	3.215237144127753e-05
ABI2	2	0	0	0	2	1.0	5.507013119101575e-10
ABL2	1	0	0	0	1	1.0	7.42198191759903e-05
ABLIM3	5	0	0	0	1	1.0	5.4922899342525534e-05
ABR	17	0	0	0	1	1.0	6.302389962981148e-05
ACADVL	17	0	0	0	1	1.0	4.7895178380413666e-05
ACAN	15	0	0	0	1	1.0	0.00016053253432823944
ACAP2	3	0	0	0	1	1.0	4.88495328136119e-05
ACBD3	1	0	1	0	0	5.310650329483265e-06	2.984136002532465e-05
ACE	17	0	0	0	1	1.0	9.592643616229294e-05
ACE2	X	0	0	0	1	1.0	1.0729857884639678e-05
ACER1	19	0	0	0	1	1.0	2.0360116816922222e-05
ACER3	11	0	0	0	1	1.0	1.4238653751688585e-05
ACHE	7	1	0	0	0	5.558550986981838e-06	5.435317405796663e-05
ACOX3	4	0	0	0	1	1.0	5.2628357137378344e-05
ACSL1	4	0	0	0	1	1.0	5.1236644815264127e-05
ACSL6	5	0	1	0	0	7.4056118689391505e-06	5.199456113023122e-05
ACSM5	16	0	0	0	1	1.0	4.176348493314084e-05
ACTB	7	1	0	0	2	2.8108991387760157e-06	7.64746042177286e-15
ACTC1	15	0	0	0	2	1.0	4.581129999283657e-10
ACTG1	17	0	0	0	1	1.0	3.647510426324495e-05
ACTN2	1	0	0	0	1	1.0	7.266287045247027e-05
ACTRT3	3	0	0	0	1	1.0	2.4923992047276763e-05
ACY3	11	0	0	0	1	1.0	2.604488427839077e-05
ADAM18	8	0	0	0	1	1.0	4.274441343080153e-05
ADAM32	8	0	0	0	1	1.0	3.97326606598308e-05
ADAM33	20	0	0	0	1	1.0	5.6781651652012954e-05
ADAM7	8	0	0	0	1	1.0	4.572109710860082e-05
ADAMTS14	10	0	0	0	1	1.0	9.796461338060422e-05
ADAMTS15	11	0	0	0	1	1.0	9.077900937375265e-05
ADAMTS16	5	0	0	0	2	1.0	4.2455254205402e-09
ADAMTS17	15	0	0	0	1	1.0	8.007097204218249e-05
ADAMTS2	5	0	0	0	1	1.0	0.0001035547833277535
ADAMTS5	21	0	0	0	1	1.0	7.716237749987137e-05
ADAMTSL2	9	0	0	0	2	1.0	1.907040674182226e-09
ADAP1	7	0	0	0	1	1.0	2.7362976019286933e-05
ADAT1	16	0	0	0	1	1.0	3.165937243900416e-05
ADCK5	8	0	0	0	1	1.0	4.0196777331419745e-05
ADCY5	3	0	0	0	1	1.0	0.00010339801169869055
ADCY6	12	0	0	0	1	1.0	0.00010087380233171929
ADH1B	4	0	0	0	1	1.0	2.4661183008852186e-05
ADH5	4	0	0	0	1	1.0	2.2424859308037552e-05
ADNP	20	2	2	0	0	2.6394324042819476e-22	7.608642744621753e-19
ADRA2B	2	0	0	0	1	1.0	4.096302262606065e-05
AFF2	X	0	0	0	1	1.0	1.8633149733466128e-05
AFTPH	2	0	0	0	1	1.0	5.082101610362975e-05
AGAP1	2	0	0	0	3	1.0	8.29540513301197e-14
AGAP3	7	0	0	0	1	1.0	8.223933075885529e-05
AGAP8	10	0	0	0	1	1.0	4.746504192923196e-05
AGBL4	1	0	0	0	1	1.0	1.6940576172921762e-05
AGO1	1	0	0	0	2	1.0	2.482058747845777e-09
AGO2	8	0	0	0	1	1.0	7.825294842410573e-05
AGO3	1	0	0	0	2	1.0	1.88065986313475e-09
AGPS	2	0	0	0	1	1.0	3.4619114098578684e-05
AGTR2	X	0	0	0	1	1.0	4.9645694334619636e-06
AHCY	20	0	0	0	1	1.0	3.437245882447804e-05
AHDC1	1	1	0	0	0	1.1515327097463474e-05	0.00013958645179203778
AHNAK	11	0	1	0	4	3.3931436706893295e-05	3.2722132946175933e-20
AHNAK2	14	0	0	0	1	1.0	0.00039396221457856003
AIFM1	X	0	1	0	0	7.861618576648981e-07	4.947323361635193e-06
AIFM2	10	0	0	0	1	1.0	3.0959083266566466e-05
AIPL1	17	0	0	0	1	1.0	3.311166103084833e-05
AKAP12	6	2	0	0	0	7.815040277647038e-11	5.9106386893961084e-09
AKAP13	15	0	0	0	3	1.0	9.692970213309794e-13
AKAP6	14	0	0	0	2	1.0	8.935320810475543e-09
AKNA	9	0	0	0	1	1.0	9.800181031731544e-05
AKR7A3	1	0	0	0	1	1.0	2.6797115176816592e-05
AKT1S1	19	0	0	0	1	1.0	1.1296284002597252e-05
ALAS1	3	0	0	0	1	1.0	4.442196013529074e-05
ALDH1A2	15	1	0	0	1	4.524049214462652e-06	4.883125815670394e-10
ALDH3A2	17	0	0	0	1	1.0	3.084998559019756e-05
ALDOB	9	0	0	0	2	1.0	3.0799940388847125e-10
ALG13	X	0	0	0	1	1.0	1.3234194666166136e-05
ALG14	1	0	0	0	1	1.0	1.6877568938820055e-05
ALK	2	1	0	0	0	1.4895317066837255e-05	0.00011924300739513475
ALOX15B	17	0	0	0	1	1.0	4.580376740038949e-05
ALPK2	18	0	0	0	1	1.0	0.00012721020215124363
ALPL	1	0	0	0	1	1.0	4.3638643316741706e-05
ALPP	2	0	0	0	1	1.0	5.2325070567254823e-05
ALPPL2	2	0	0	0	1	1.0	5.104306570680298e-05
ALS2	2	1	0	0	1	1.6668291970727567e-05	5.0901706062465315e-09
ALS2CL	3	0	0	0	1	1.0	7.363430456284075e-05
ALS2CR11	2	0	0	0	2	1.0	1.0544427171473802e-09
ALX4	11	0	0	0	1	1.0	3.112652735671389e-05
AMBRA1	11	0	1	0	0	1.1073045872503491e-05	9.329878045762949e-05
AMELX	X	0	0	0	1	1.0	3.0363597686363907e-06
AMOTL1	11	0	0	0	1	1.0	6.968761237566177e-05
AMPD3	11	0	0	0	1	1.0	6.0816702611466765e-05
AMT	3	0	0	0	1	1.0	3.171244685946151e-05
AMZ2	17	0	0	0	1	1.0	2.2073385777871877e-05
ANGPT4	20	0	0	0	1	1.0	3.784810884581899e-05
ANGPTL5	11	0	0	0	1	1.0	2.2545472911049254e-05
ANGPTL7	1	0	0	0	1	1.0	2.5554977739536174e-05
ANK2	4	0	1	0	0	3.390020561081813e-05	0.0002451157221187242
ANK3	10	1	1	0	0	6.091127834964207e-10	3.638646536820479e-08
ANKAR	2	0	0	0	1	1.0	7.781388170713957e-05
ANKH	5	0	0	0	1	1.0	3.90696425026678e-05
ANKMY2	7	0	0	0	1	1.0	2.6677566698784472e-05
ANKRD1	10	0	0	0	1	1.0	2.2233280459519926e-05
ANKRD11	16	3	0	0	0	1.5676570127353987e-15	1.8693462272095195e-12
ANKRD12	18	1	0	0	0	1.74831299600436e-05	0.00011118948367292216
ANKRD32	5	0	0	0	1	1.0	2.5945533556763258e-05
ANKRD33	12	1	0	0	0	3.999635006172336e-06	3.385603003792958e-05
ANKRD36	2	0	0	0	1	1.0	2.042940799760872e-05
ANKRD50	4	0	0	0	1	1.0	8.490781478847881e-05
ANKS1B	12	0	0	0	1	1.0	7.322377458589499e-05
ANO10	3	0	0	0	1	1.0	3.528134603846393e-05
ANO2	12	0	0	0	1	1.0	6.900013985672068e-05
ANO3	11	0	0	0	1	1.0	6.528469504281967e-05
ANP32A	15	0	0	0	1	1.0	1.6022317522619885e-05
ANXA6	5	0	0	0	1	1.0	4.869917101078296e-05
AP3B1	5	0	0	0	1	1.0	6.461081801555795e-05
APBA3	19	0	0	0	1	1.0	3.301916263556028e-05
APBB1	11	0	0	0	2	1.0	1.4078352714615218e-09
APLP1	19	0	0	0	1	1.0	5.4260643171654464e-05
APOA1BP	1	1	0	0	0	2.5205517530798255e-06	2.3766393883490676e-05
APOB	2	0	0	0	2	1.0	3.407325153419633e-08
APOBEC3C	22	0	0	0	1	1.0	1.4797158658715407e-05
APPL2	12	0	0	0	1	1.0	4.3191957323439326e-05
AQPEP	5	0	0	0	2	1.0	2.3504198736370832e-09
ARAP3	5	0	0	0	1	1.0	0.00011860128780738408
ARCN1	11	1	0	0	0	5.9544083131166425e-06	3.451479512557851e-05
AREL1	14	0	0	0	1	1.0	5.847506158013357e-05
ARFGEF2	20	0	0	0	4	1.0	8.89706194108104e-18
ARGLU1	13	1	0	0	0	4.264932662986934e-06	3.245709356070178e-05
ARHGAP20	11	0	0	0	1	1.0	7.037809716072262e-05
ARHGAP21	10	1	0	0	0	1.887010555287845e-05	0.00012849642677023766
ARHGAP26	5	0	0	0	1	1.0	5.812374061698152e-05
ARHGAP32	11	0	0	0	1	1.0	0.0001352069683891865
ARHGAP35	19	1	0	0	0	1.156020204003841e-05	0.00010251022752617327
ARHGAP4	X	0	0	0	1	1.0	1.756252297286072e-05
ARHGAP40	20	0	0	0	1	1.0	0.0
ARHGAP44	17	0	0	0	1	1.0	4.922703592571153e-05
ARHGAP8	22	1	0	0	0	4.1768282073976065e-06	3.87464693185292e-05
ARHGAP9	12	0	0	0	1	1.0	5.939116570168066e-05
ARHGEF10L	1	0	0	0	1	1.0	9.936211337566419e-05
ARHGEF16	1	0	0	0	1	1.0	3.887212853158566e-05
ARHGEF2	1	1	0	0	0	1.1103155233774989e-05	8.371181717847108e-05
ARHGEF3	3	0	0	0	1	1.0	3.857694062826215e-05
ARHGEF4	2	0	0	0	1	1.0	5.324970966860109e-05
ARHGEF40	14	0	0	0	1	1.0	0.0001179342551483438
ARHGEF5	7	0	0	0	1	1.0	0.00010977829046945784
ARHGEF7	13	0	0	0	1	1.0	6.061224858222706e-05
ARID1A	1	0	0	0	1	1.0	0.0001363642789533548
ARID1B	6	2	1	0	1	9.973709804845555e-16	1.5480984159138896e-17
ARID3C	9	0	0	0	1	1.0	3.234194789969374e-05
ARL11	13	0	1	0	0	1.3303227758399824e-06	1.4633136751452995e-05
ARMC3	10	0	0	0	1	1.0	5.2610152781617537e-05
ARSI	5	0	0	0	1	1.0	5.2143949422863934e-05
ASAP3	1	0	0	0	2	1.0	2.175504900628743e-09
ASB17	1	0	0	0	1	1.0	1.6159510506039052e-05
ASCC3	6	0	0	0	1	1.0	0.0001347310986102266
ASH1L	1	2	0	0	0	3.819640542389363e-10	1.7502921014083695e-08
ASIC4	2	0	0	0	1	1.0	4.7782242746725374e-05
ASNA1	19	0	1	0	0	2.7086091340900596e-06	2.6297997120834688e-05
ASPA	17	0	0	0	1	1.0	1.969225113185629e-05
ASPDH	19	1	0	0	0	2.040750245271441e-06	1.5097223303100836e-05
ASPG	14	0	0	0	2	1.0	6.968459306010892e-10
ASTN2	9	0	0	0	1	1.0	9.113461421435232e-05
ASUN	12	0	0	0	1	1.0	4.598284100177934e-05
ASXL1	20	0	2	0	0	8.188903186690404e-11	5.381469393957921e-09
ATAD1	10	1	0	0	0	3.57498361380403e-06	2.302280129113016e-05
ATAD3B	1	0	0	0	1	1.0	5.8961373915610754e-05
ATCAY	19	0	0	0	1	1.0	2.8714364865364494e-05
ATF6B	6	0	0	0	1	1.0	5.269681125387504e-05
ATG16L1	2	0	0	0	1	1.0	4.129073399994418e-05
ATG2A	11	0	0	0	1	1.0	0.0001547643879290236
ATHL1	11	0	0	0	1	1.0	4.523112883792049e-05
ATIC	2	0	0	0	1	1.0	3.9433321333924096e-05
ATM	11	0	0	0	2	1.0	1.5956839678878782e-08
ATP10B	5	0	0	0	1	1.0	9.976629426082867e-05
ATP11C	X	0	0	0	1	1.0	1.549952914433019e-05
ATP12A	13	0	0	0	1	1.0	7.168269000717932e-05
ATP13A5	3	0	1	0	0	1.165874285855529e-05	7.402446278229234e-05
ATP1B2	17	0	1	0	0	3.457085446675334e-06	2.513296062245595e-05
ATP2A2	12	0	0	0	2	1.0	2.6375313653079857e-09
ATP2B4	1	0	0	0	1	1.0	8.477360285291744e-05
ATP4B	13	0	0	0	1	1.0	2.2243931859968943e-05
ATP5G1	17	0	0	0	1	1.0	9.193146794405292e-06
ATP6AP1L	5	0	0	0	1	1.0	1.58112731542271e-05
ATP6V0C	16	1	0	0	0	1.1781438688789526e-06	1.437621447583739e-05
ATP6V0D2	8	0	1	0	0	3.651962903528197e-06	2.3908542405947687e-05
ATP6V1B2	8	0	0	0	1	1.0	3.833515455666094e-05
ATP6V1C1	8	0	0	0	1	1.0	2.2800715211396894e-05
ATP6V1C2	2	0	0	0	1	1.0	2.9079147668767934e-05
ATP8B2	1	0	0	0	1	1.0	9.135680168051369e-05
ATR	3	1	0	0	0	2.5658011609833853e-05	0.0001571663368929415
ATRNL1	10	0	0	0	1	1.0	8.159172562395533e-05
ATRX	X	0	0	0	1	1.0	3.215430618283998e-05
ATXN1	6	0	0	0	1	1.0	6.731167187584601e-05
ATXN2L	16	0	0	0	1	1.0	7.852273143261686e-05
AXDND1	1	0	0	0	1	1.0	5.871227361763716e-05
AXIN2	17	0	0	0	1	1.0	6.804485508657475e-05
B3GALT5	21	0	0	0	1	1.0	2.25737076114915e-05
B3GAT3	11	0	0	0	1	1.0	2.855979333198448e-05
B3GNT7	2	0	0	0	1	1.0	3.8531117537517026e-05
BACE2	21	0	0	0	1	1.0	3.612545648232572e-05
BACH2	6	0	0	0	1	1.0	6.21639717701113e-05
BAG3	10	0	0	0	1	1.0	4.441709009862034e-05
BAG4	8	0	0	0	1	1.0	2.8685837850373025e-05
BAI1	8	1	0	0	0	1.0379348172117736e-05	0.00010107513002531619
BAI2	1	0	0	0	2	1.0	7.323320149543862e-09
BAIAP2	17	1	0	0	0	4.577700591628447e-06	4.6136890454370775e-05
BAIAP3	16	0	0	0	1	1.0	9.653127240183719e-05
BANP	16	0	0	0	1	1.0	4.524093749467935e-05
BARHL2	1	0	0	0	1	1.0	3.077775164117831e-05
BAZ1B	7	0	0	0	1	1.0	9.509324605039956e-05
