gene	gene_id	R2	p_value_adj
TSPAN6	ENSG00000000003	0.885649469764777	4.99527802685923e-49
TNMD	ENSG00000000005	0.622265657466994	7.53651656863835e-15
DPM1	ENSG00000000419	0.623789036229375	3.34764560307455e-14
SCYL3	ENSG00000000457	0.540808575423884	2.94596541531565e-08
C1orf112	ENSG00000000460	0.654413785418726	8.14951413019839e-13
CFH	ENSG00000000971	0.655377069299862	1.71071232917228e-14
GCLC	ENSG00000001084	0.68273785741642	7.80431920905331e-14
NFYA	ENSG00000001167	0.738485556837035	1.80064384951428e-17
LAS1L	ENSG00000001497	0.552972702024408	4.63026237299803e-11
ENPP4	ENSG00000001561	0.611124232386672	1.63249003670262e-13
SEMA3F	ENSG00000001617	0.82484148018225	2.36391204028144e-32
ANKIB1	ENSG00000001629	0.790664451396426	3.29281477118616e-25
KRIT1	ENSG00000001631	0.702438857640003	5.67247336857137e-17
BAD	ENSG00000002330	0.781597975755877	2.62722058059559e-26
HS3ST1	ENSG00000002587	0.559044875573004	7.5397229649868e-10
AOC1	ENSG00000002726	0.933020392688378	7.34840713700354e-141
HECW1	ENSG00000002746	0.56463833655372	1.90494465619384e-16
MAD1L1	ENSG00000002822	0.774779980726428	1.11110702738634e-25
TMEM176A	ENSG00000002933	0.510778972284417	6.25971563124747e-09
KLHL13	ENSG00000003096	0.682234097102753	2.61288878473634e-14
CYP26B1	ENSG00000003137	0.761994192493363	1.70470314236922e-18
ICA1	ENSG00000003147	0.807718447603693	4.7302874215394e-23
DBNDD1	ENSG00000003249	0.771986268169608	1.35755998746541e-21
ALS2	ENSG00000003393	0.71800265789323	3.5458569176041e-21
CASP10	ENSG00000003400	0.685876343802355	2.583252113368e-13
CFLAR	ENSG00000003402	0.724603770031713	1.85014068268395e-18
TFPI	ENSG00000003436	0.853997423498645	7.32628708150342e-34
MTMR7	ENSG00000003987	0.776230017155718	5.24335306856699e-36
SLC7A2	ENSG00000003989	0.646659588802083	3.04624391762946e-12
ARF5	ENSG00000004059	0.535746122833625	8.28367370414519e-09
SARM1	ENSG00000004139	0.687095549799436	3.67081286946466e-15
PLXND1	ENSG00000004399	0.723452222051529	1.71906176769634e-21
CD38	ENSG00000004468	0.683746578823052	7.77094859871558e-17
KDM1A	ENSG00000004487	0.291744193960838	0.000164952826134426
CAMKK1	ENSG00000004660	0.865907608009574	2.26926758730128e-41
RECQL	ENSG00000004700	0.576530388482925	5.60935747928415e-11
HSPB6	ENSG00000004776	0.578540368219262	1.14549301994465e-08
ARHGAP33	ENSG00000004777	0.788357330906774	1.9002942654041e-25
NDUFAB1	ENSG00000004779	0.897138465352765	2.31963817347587e-65
PDK4	ENSG00000004799	0.59887661349809	4.66034269130559e-10
ZMYND10	ENSG00000004838	0.549614515799755	2.29532230467503e-13
ABCB5	ENSG00000004846	0.435096040651318	1.91721951839445e-26
SLC25A13	ENSG00000004864	0.642902083328306	1.16303385955852e-11
ST7	ENSG00000004866	0.893726708307308	9.34530359392791e-56
SLC4A1	ENSG00000004939	0.60672099909347	3.63765703247045e-14
CALCR	ENSG00000004948	0.523855606581153	2.25963758491606e-11
HCCS	ENSG00000004961	0.699318546173304	3.67077000140005e-19
DVL2	ENSG00000004975	0.844641045770492	2.27602554877013e-36
PRSS22	ENSG00000005001	0.867267871306025	7.6943635575601e-40
UPF1	ENSG00000005007	0.709411173082904	2.02869495816241e-17
SKAP2	ENSG00000005020	0.897469214351715	3.90830745647645e-58
SLC25A5	ENSG00000005022	0.723654414330048	2.12074022816066e-21
CCDC109B	ENSG00000005059	0.705119429733509	2.69712352420235e-16
HOXA11	ENSG00000005073	0.968548961331942	3.55301891211851e-90
POLR2J	ENSG00000005075	0.770005593278746	8.37183284236378e-24
DHX33	ENSG00000005100	0.590900210586472	1.04461492729737e-12
MEOX1	ENSG00000005102	0.800470772308715	1.38647405240362e-20
THSD7A	ENSG00000005108	0.77990710151225	5.78983184267438e-25
LIG3	ENSG00000005156	0.616146868413963	5.65532620851415e-11
ACSM3	ENSG00000005187	0.83617343349058	8.29611551840722e-35
AC004381.6	ENSG00000005189	0.886970520533307	4.99802526632553e-56
FAM214B	ENSG00000005238	0.603270304711672	5.86138780169201e-11
COPZ2	ENSG00000005243	0.740294365235206	4.70310499821077e-20
