SYMBOL	n_ptv	n_missense	n_syn	n_nonsyn	p_mupit	p_dnw	p_dnm	p_adj
A1CF	0	1	0	1	1	1	1	1
AAAS	0	1	0	1	1	1	1	1
AACS	0	1	0	1	1	1	1	1
AADAC	0	0	1	0	1	1	1	1
AAK1	0	1	0	1	1	1	1	1
AASS	0	0	1	0	1	1	1	1
ABAT	0	1	0	1	1	1	1	1
ABCA1	0	1	0	1	1	1	1	1
ABCA13	0	2	1	2	1	1	1	1
ABCA4	0	2	0	2	1	1	1	1
ABCA7	0	1	0	1	1	1	1	1
ABCA8	0	1	1	1	1	1	1	1
ABCB6	0	1	0	1	1	1	1	1
ABCC1	0	1	0	1	1	1	1	1
ABCC2	0	1	0	1	1	1	1	1
ABCC3	1	0	0	1	0.0329927307811406	1	0.0329927307811406	1
ABCD3	0	1	0	1	1	1	1	1
ABCE1	0	1	0	1	1	1	1	1
ABCG1	0	1	0	1	1	1	1	1
ABHD12B	0	1	0	1	1	1	1	1
ABI1	1	0	0	1	0.0125514674072339	1	0.0125514674072339	1
ABI2	0	2	0	2	1	1	1	1
ABL1	0	0	1	0	1	1	1	1
ABL2	0	1	0	1	1	1	1	1
ABLIM3	0	1	0	1	1	1	1	1
ABR	0	1	0	1	1	1	1	1
ABRA	0	0	1	0	1	1	1	1
ACADVL	0	1	0	1	1	1	1	1
ACAN	0	1	1	1	1	1	1	1
ACAP2	0	1	0	1	1	1	1	1
ACBD3	1	0	0	1	0.0131260254930459	1	0.0131260254930459	1
ACCSL	0	0	1	0	1	1	1	1
ACE	0	1	0	1	1	1	1	1
ACE2	0	1	0	1	1	1	1	1
ACER1	0	1	0	1	1	1	1	1
ACER3	0	1	0	1	1	1	1	1
ACHE	1	0	0	1	0.0137345221347608	1	0.0137345221347608	1
ACO2	0	0	2	0	1	1	1	1
ACOX3	0	1	0	1	1	1	1	1
ACSL1	0	1	0	1	1	1	1	1
ACSL6	1	0	0	1	0.0182565237375481	1	0.0182565237375481	1
ACSM5	0	1	0	1	1	1	1	1
ACTB	1	2	0	3	0.00696912908586289	1	0.00696912908586289	1
ACTC1	0	2	0	2	1	1	1	1
ACTG1	0	1	0	1	1	1	1	1
ACTN1	0	0	0	0	1	1	1	1
ACTN2	0	1	0	1	1	1	1	1
ACTRT3	0	1	0	1	1	1	1	1
ACY3	0	1	0	1	1	1	1	1
ACYP1	0	0	0	0	1	1	1	1
ADAM18	0	1	0	1	1	1	1	1
ADAM32	0	1	0	1	1	1	1	1
ADAM33	0	1	0	1	1	1	1	1
ADAM7	0	1	0	1	1	1	1	1
ADAMTS14	0	1	0	1	1	1	1	1
ADAMTS15	0	1	0	1	1	1	1	1
ADAMTS16	0	2	0	2	1	1	1	1
ADAMTS17	0	1	0	1	1	1	1	1
ADAMTS2	0	1	0	1	1	1	1	1
ADAMTS5	0	1	0	1	1	1	1	1
ADAMTSL2	0	2	1	2	1	1	1	1
ADAMTSL5	0	0	1	0	1	1	1	1
ADAP1	0	1	0	1	1	1	1	1
ADAT1	0	1	0	1	1	1	1	1
ADCK3	0	0	1	0	1	1	1	1
ADCK5	0	1	0	1	1	1	1	1
ADCY4	0	0	1	0	1	1	1	1
ADCY5	0	1	0	1	1	1	1	1
ADCY6	0	1	0	1	1	1	1	1
ADH1B	0	1	0	1	1	1	1	1
ADH5	0	1	0	1	1	1	1	1
ADNP	4	0	0	4	9.93587689472559e-09	1	9.93587689472559e-09	0.000188781660999786
ADRA2B	0	1	1	1	1	1	1	1
AES	0	0	1	0	1	1	1	1
AFAP1L2	0	0	1	0	1	1	1	1
AFF2	0	1	0	1	1	1	1	1
AFM	0	0	1	0	1	1	1	1
AFP	0	0	1	0	1	1	1	1
AFTPH	0	1	0	1	1	1	1	1
AGAP1	0	3	0	3	1	1	1	1
AGAP3	0	1	0	1	1	1	1	1
AGBL4	0	1	0	1	1	1	1	1
AGO1	0	2	0	2	1	1	1	1
AGO2	0	1	0	1	1	1	1	1
AGO3	0	2	0	2	1	1	1	1
AGPAT5	0	0	1	0	1	1	1	1
AGPS	0	1	0	1	1	1	1	1
AGTR2	0	1	0	1	1	1	1	1
AHCY	0	1	0	1	1	1	1	1
AHDC1	1	0	0	1	0.0282437706036557	1	0.0282437706036557	1
AHNAK	1	4	1	5	0.0809574403107708	1	0.0809574403107708	1
AHNAK2	0	1	0	1	1	1	1	1
AHR	0	0	2	0	1	1	1	1
AIFM1	1	0	0	1	0.00526720235731326	1	0.00526720235731326	1
AIFM2	0	1	0	1	1	1	1	1
AIP	0	0	1	0	1	1	1	1
AIPL1	0	1	0	1	1	1	1	1
AK5	0	0	1	0	1	1	1	1
AK8	0	0	1	0	1	1	1	1
AKAP12	2	0	0	2	0.000473850569582414	1	0.000473850569582414	1
AKAP13	0	3	0	3	1	1	1	1
AKAP6	0	2	1	2	1	1	1	1
AKAP8	0	0	1	0	1	1	1	1
AKNA	0	1	0	1	1	1	1	1
AKR1B1	0	0	1	0	1	1	1	1
AKR7A2	0	0	1	0	1	1	1	1
AKR7A3	0	1	0	1	1	1	1	1
AKT1S1	0	1	0	1	1	1	1	1
ALAS1	0	1	0	1	1	1	1	1
ALCAM	0	0	1	0	1	1	1	1
ALDH18A1	0	0	1	0	1	1	1	1
ALDH1A2	1	1	0	2	0.0111927497239101	1	0.0111927497239101	1
ALDH3A2	0	1	0	1	1	1	1	1
ALDOB	0	2	0	2	1	1	1	1
ALG13	0	1	1	1	1	1	1	1
ALG14	0	1	0	1	1	1	1	1
ALG6	0	0	1	0	1	1	1	1
ALK	1	0	0	1	0.0363815147278228	1	0.0363815147278228	1
ALKBH6	0	0	1	0	1	1	1	1
ALOX15B	0	1	0	1	1	1	1	1
ALPK2	0	1	1	1	1	1	1	1
ALPL	0	1	0	1	1	1	1	1
ALPP	0	1	0	1	1	1	1	1
ALPPL2	0	1	0	1	1	1	1	1
ALS2	1	1	0	2	0.0406228968974476	1	0.0406228968974476	1
ALS2CL	0	1	0	1	1	1	1	1
ALS2CR11	0	2	0	2	1	1	1	1
ALX4	0	1	0	1	1	1	1	1
AMBRA1	1	0	0	1	0.0271738535974219	1	0.0271738535974219	1
AMELX	0	1	0	1	1	1	1	1
AMOTL1	0	1	0	1	1	1	1	1
AMPD2	0	0	1	0	1	1	1	1
AMPD3	0	1	0	1	1	1	1	1
AMT	0	1	0	1	1	1	1	1
AMZ2	0	1	0	1	1	1	1	1
ANGEL1	0	0	1	0	1	1	1	1
ANGPT4	0	1	0	1	1	1	1	1
ANGPTL4	0	0	1	0	1	1	1	1
ANGPTL5	0	1	0	1	1	1	1	1
ANGPTL7	0	1	0	1	1	1	1	1
ANK2	1	0	1	1	0.0808860227802263	1	0.0808860227802263	1
ANK3	2	0	1	2	0.00355923916107317	1	0.00355923916107317	1
ANKAR	0	1	0	1	1	1	1	1
ANKH	0	1	1	1	1	1	1	1
ANKMY2	0	1	0	1	1	1	1	1
ANKRD1	0	1	0	1	1	1	1	1
ANKRD11	3	0	2	3	2.32126595512808e-05	1	2.32126595512808e-05	0.441040531474335
ANKRD12	1	0	0	1	0.0425659212786751	1	0.0425659212786751	1
ANKRD17	0	0	1	0	1	1	1	1
ANKRD18A	0	0	1	0	1	1	1	1
ANKRD28	0	0	1	0	1	1	1	1
ANKRD32	0	1	0	1	1	1	1	1
ANKRD33	1	0	0	1	0.00990176330921243	1	0.00990176330921243	1
ANKRD36	0	1	0	1	1	1	1	1
ANKRD40	0	0	1	0	1	1	1	1
ANKRD50	0	1	0	1	1	1	1	1
ANKS1A	0	0	1	0	1	1	1	1
ANKS1B	0	1	0	1	1	1	1	1
ANLN	0	0	1	0	1	1	1	1
ANO10	0	1	0	1	1	1	1	1
ANO2	0	1	0	1	1	1	1	1
ANO3	0	1	0	1	1	1	1	1
ANO7	0	0	1	0	1	1	1	1
ANP32A	0	1	0	1	1	1	1	1
ANXA6	0	1	0	1	1	1	1	1
AP2A1	0	0	1	0	1	1	1	1
AP3B1	0	1	0	1	1	1	1	1
AP3B2	0	0	2	0	1	1	1	1
APBA3	0	1	0	1	1	1	1	1
APBB1	0	2	0	2	1	1	1	1
APBB2	0	0	0	0	1	1	1	1
APLP1	0	1	0	1	1	1	1	1
APLP2	0	0	1	0	1	1	1	1
APOA1BP	1	0	0	1	0.00625151810245677	1	0.00625151810245677	1
APOB	0	2	0	2	1	1	1	1
APOBEC3C	0	1	0	1	1	1	1	1
APOBEC3G	0	0	1	0	1	1	1	1
APPL2	0	1	0	1	1	1	1	1
APTX	0	0	0	0	1	1	1	1
AQP12A	0	0	1	0	1	1	1	1
AQPEP	0	2	0	2	1	1	1	1
ARAP3	0	1	0	1	1	1	1	1
ARCN1	1	0	0	1	0.0147054155244796	1	0.0147054155244796	1
AREL1	0	1	0	1	1	1	1	1
ARFGEF2	0	4	1	4	1	1	1	1
ARFIP1	0	0	1	0	1	1	1	1
ARGLU1	1	0	0	1	0.0105550751790795	1	0.0105550751790795	1
ARHGAP20	0	1	0	1	1	1	1	1
ARHGAP21	1	0	0	1	0.0458641961164499	1	0.0458641961164499	1
ARHGAP24	0	0	1	0	1	1	1	1
ARHGAP26	0	1	0	1	1	1	1	1
ARHGAP32	0	1	1	1	1	1	1	1
ARHGAP35	1	0	0	1	0.0283522612712708	1	0.0283522612712708	1
ARHGAP4	0	1	0	1	1	1	1	1
ARHGAP40	0	1	0	1	1	1	1	1
ARHGAP44	0	1	0	1	1	1	1	1
ARHGAP8	1	0	0	1	0.010338160318071	1	0.010338160318071	1
ARHGAP9	0	1	0	1	1	1	1	1
ARHGDIA	0	0	1	0	1	1	1	1
ARHGDIB	0	0	1	0	1	1	1	1
ARHGEF10L	0	1	0	1	1	1	1	1
ARHGEF11	0	0	1	0	1	1	1	1
ARHGEF16	0	1	0	1	1	1	1	1
ARHGEF2	1	0	0	1	0.0272467281164907	1	0.0272467281164907	1
ARHGEF3	0	1	0	1	1	1	1	1
ARHGEF4	0	1	0	1	1	1	1	1
ARHGEF40	0	1	0	1	1	1	1	1
ARHGEF5	0	1	0	1	1	1	1	1
ARHGEF7	0	1	0	1	1	1	1	1
ARID1A	0	1	0	1	1	1	1	1
ARID1B	3	1	2	4	1.48496920737336e-05	1	1.48496920737336e-05	0.282144149400938
ARID3A	0	0	1	0	1	1	1	1
ARID3C	0	1	0	1	1	1	1	1
ARID5A	0	0	1	0	1	1	1	1
ARL11	1	0	0	1	0.00330437376829332	1	0.00330437376829332	1
ARMC3	0	1	0	1	1	1	1	1
ARMCX5	0	0	1	0	1	1	1	1
ARPC2	0	0	1	0	1	1	1	1
ARSI	0	1	0	1	1	1	1	1
ASAP3	0	2	0	2	1	1	1	1
ASB17	0	1	0	1	1	1	1	1
ASCC2	0	0	1	0	1	1	1	1
