SYMBOL	n_ptv	n_missense	n_syn	n_nonsyn
-	0	0	0	0
A1CF	0	1	0	1
AAAS	0	1	0	1
AACS	0	1	0	1
AADAC	0	0	1	0
AAK1	0	1	0	1
AASS	0	0	1	0
ABAT	0	1	0	1
ABCA1	0	1	0	1
ABCA13	0	2	1	2
ABCA4	0	2	0	2
ABCA7	0	1	0	1
ABCA8	0	1	1	1
ABCB6	0	1	0	1
ABCC1	0	1	0	1
ABCC2	0	1	0	1
ABCC3	1	0	0	1
ABCD3	0	1	0	1
ABCE1	0	1	0	1
ABCG1	0	1	0	1
ABHD12B	0	1	0	1
ABI1	1	0	0	1
ABI2	0	2	0	2
ABL1	0	0	1	0
ABL2	0	1	0	1
ABLIM3	0	1	0	1
ABR	0	1	0	1
ABRA	0	0	1	0
ACADVL	0	1	0	1
ACAN	0	1	1	1
ACAP2	0	1	0	1
ACBD3	1	0	0	1
ACCSL	0	0	1	0
ACE	0	1	0	1
ACE2	0	1	0	1
ACER1	0	1	0	1
ACER3	0	1	0	1
ACHE	1	0	0	1
ACO2	0	0	2	0
ACOX3	0	1	0	1
ACSL1	0	1	0	1
ACSL6	1	0	0	1
ACSM5	0	1	0	1
ACTB	1	2	0	3
ACTC1	0	2	0	2
ACTG1	0	1	0	1
ACTN1	0	0	0	0
ACTN2	0	1	0	1
ACTRT3	0	1	0	1
ACY3	0	1	0	1
ACYP1	0	0	0	0
ADAM18	0	1	0	1
ADAM32	0	1	0	1
ADAM33	0	1	0	1
ADAM7	0	1	0	1
ADAMTS14	0	1	0	1
ADAMTS15	0	1	0	1
ADAMTS16	0	2	0	2
ADAMTS17	0	1	0	1
ADAMTS2	0	1	0	1
ADAMTS5	0	1	0	1
ADAMTSL2	0	2	1	2
ADAMTSL5	0	0	1	0
ADAP1	0	1	0	1
ADAT1	0	1	0	1
ADCK3	0	0	1	0
ADCK5	0	1	0	1
ADCY4	0	0	1	0
ADCY5	0	1	0	1
ADCY6	0	1	0	1
ADH1B	0	1	0	1
ADH5	0	1	0	1
ADNP	4	0	0	4
ADRA2B	0	1	1	1
AES	0	0	1	0
AFAP1L2	0	0	1	0
AFF2	0	1	0	1
AFM	0	0	1	0
AFP	0	0	1	0
AFTPH	0	1	0	1
AGAP1	0	3	0	3
AGAP3	0	1	0	1
AGAP8	0	1	0	1
AGBL4	0	1	0	1
AGO1	0	2	0	2
AGO2	0	1	0	1
AGO3	0	2	0	2
AGPAT5	0	0	1	0
AGPS	0	1	0	1
AGTR2	0	1	0	1
AHCY	0	1	0	1
AHDC1	1	0	0	1
AHNAK	1	4	1	5
AHNAK2	0	1	0	1
AHR	0	0	2	0
AIFM1	1	0	0	1
AIFM2	0	1	0	1
AIP	0	0	1	0
AIPL1	0	1	0	1
AK5	0	0	1	0
AK8	0	0	1	0
AKAP12	2	0	0	2
AKAP13	0	3	0	3
AKAP6	0	2	1	2
AKAP8	0	0	1	0
AKNA	0	1	0	1
AKR1B1	0	0	1	0
AKR7A2	0	0	1	0
AKR7A3	0	1	0	1
AKT1S1	0	1	0	1
ALAS1	0	1	0	1
ALCAM	0	0	1	0
ALDH18A1	0	0	1	0
ALDH1A2	1	1	0	2
ALDH3A2	0	1	0	1
ALDOB	0	2	0	2
ALG13	0	1	1	1
ALG14	0	1	0	1
ALG6	0	0	1	0
ALK	1	0	0	1
ALKBH6	0	0	1	0
ALOX15B	0	1	0	1
ALPK2	0	1	1	1
ALPL	0	1	0	1
ALPP	0	1	0	1
ALPPL2	0	1	0	1
ALS2	1	1	0	2
ALS2CL	0	1	0	1
ALS2CR11	0	2	0	2
ALX4	0	1	0	1
AMBRA1	1	0	0	1
AMELX	0	1	0	1
AMOTL1	0	1	0	1
AMPD2	0	0	1	0
AMPD3	0	1	0	1
AMT	0	1	0	1
AMZ2	0	1	0	1
ANGEL1	0	0	1	0
ANGPT4	0	1	0	1
ANGPTL4	0	0	1	0
ANGPTL5	0	1	0	1
ANGPTL7	0	1	0	1
ANK2	1	0	1	1
ANK3	2	0	1	2
ANKAR	0	1	0	1
ANKH	0	1	1	1
ANKMY2	0	1	0	1
ANKRD1	0	1	0	1
ANKRD11	3	0	2	3
ANKRD12	1	0	0	1
ANKRD17	0	0	1	0
ANKRD18A	0	0	1	0
ANKRD28	0	0	1	0
ANKRD32	0	1	0	1
ANKRD33	1	0	0	1
ANKRD36	0	1	0	1
ANKRD40	0	0	1	0
ANKRD50	0	1	0	1
ANKS1A	0	0	1	0
ANKS1B	0	1	0	1
ANLN	0	0	1	0
ANO10	0	1	0	1
ANO2	0	1	0	1
ANO3	0	1	0	1
ANO7	0	0	1	0
ANP32A	0	1	0	1
ANXA6	0	1	0	1
AP2A1	0	0	1	0
AP3B1	0	1	0	1
AP3B2	0	0	2	0
APBA3	0	1	0	1
APBB1	0	2	0	2
APBB2	0	0	0	0
APLP1	0	1	0	1
APLP2	0	0	1	0
APOA1BP	1	0	0	1
APOB	0	2	0	2
APOBEC3C	0	1	0	1
APOBEC3G	0	0	1	0
APPL2	0	1	0	1
APTX	0	0	0	0
AQP12A	0	0	1	0
AQPEP	0	2	0	2
ARAP3	0	1	0	1
ARCN1	1	0	0	1
AREL1	0	1	0	1
ARFGEF2	0	4	1	4
ARFIP1	0	0	1	0
ARGLU1	1	0	0	1
ARHGAP20	0	1	0	1
ARHGAP21	1	0	0	1
ARHGAP24	0	0	1	0
ARHGAP26	0	1	0	1
ARHGAP32	0	1	1	1
ARHGAP35	1	0	0	1
ARHGAP4	0	1	0	1
ARHGAP40	0	1	0	1
ARHGAP44	0	1	0	1
ARHGAP8	1	0	0	1
ARHGAP9	0	1	0	1
ARHGDIA	0	0	1	0
