symbol	hgnc_id	expected	observed	p-value	info
DAAM1	18142.0	0.05173187409855169	0.339252359641166	0.05139468940248292	probability of observing this or more number of mutations is too small
DALRD3	25536.0	0.032750426852405326	0.33060413133020194	0.02097781785324388	probability of observing this or more number of mutations is too small
DAPK3	2676.0	0.03343577207045548	0.316990550203252	0.0384814819308195	probability of observing this or more number of mutations is too small
DARS	2678.0	0.02521706864267916	0.426189613666812	0.010695383905039229	probability of observing this or more number of mutations is too small
DAZAP1	2683.0	0.04574509452408961	0.838375540983127	0.00966670078995468	probability of observing this or more number of mutations is too small
DBF4B	17883.0	0.021624824401990293	0.164850378198834	0.045785611027302546	probability of observing this or more number of mutations is too small
DBR1	15594.0	0.022783260595280963	0.001	1.0	observed < expected, pvalue set at 1
DCAF12L2	32950.0	0.013213443604630039	0.275749177020281	0.008542552461700423	probability of observing this or more number of mutations is too small
DCAF4	20229.0	0.02591101746611287	0.23298925961558398	0.04356174738990948	probability of observing this or more number of mutations is too small
DCAF8	24891.0	0.04187258914986451	0.426189613666812	0.021117127044207085	probability of observing this or more number of mutations is too small
DCHS1	13681.0	0.20923454675505612	0.47489138781551604	0.14773495338412046	probability of observing this or more number of mutations is too small
DCHS2	23111.0	0.13555467845685376	0.602940385383593	0.030513770452587213	probability of observing this or more number of mutations is too small
DCLK1	2700.0	0.10203306484850205	0.29258930574791997	0.12816325381084642	probability of observing this or more number of mutations is too small
DCST1	26539.0	0.05408096897564163	0.001	1.0	observed < expected, pvalue set at 1
DCX	2714.0	0.026651058549974016	0.001	1.0	observed < expected, pvalue set at 1
DCXR	18985.0	0.012460950127821753	0.14707706057356	0.06731792401227826	probability of observing this or more number of mutations is too small
DDB1	2717.0	0.09009328083165771	0.6166193753710221	0.06049885934604965	probability of observing this or more number of mutations is too small
DDIT3	2726.0	0.007992963543041767	0.34796431289969804	0.004687714879435088	probability of observing this or more number of mutations is too small
DDO	2727.0	0.015941140998964785	0.200454467575277	0.03307051625397272	probability of observing this or more number of mutations is too small
