symbol	chr	start	end	case	control	p_value	p_value_adj
ABHD11	7	73150424	73153197	29	0	9.999e-05	9.999e-05
AC010760.1	15	22456895	22460351	173	167	9.999e-05	9.999e-05
ACAP3	1	1227756	1244989	29	0	9.999e-05	9.999e-05
ADAMTS15	11	130318869	130346536	17	1	9.999e-05	9.999e-05
AF131215.5	8	10983980	10987745	22	0	9.999e-05	9.999e-05
AMY1C	1	104293028	104301312	31	3	9.999e-05	9.999e-05
AP003041.2	11	129936836	129944012	17	1	9.999e-05	9.999e-05
APLP2	11	129939732	130014706	17	1	9.999e-05	9.999e-05
ARHGEF35	7	143883176	143892748	33	1	9.999e-05	9.999e-05
ARVCF	22	19957419	20004331	112	0	9.999e-05	9.999e-05
B3GALT6	1	1167645	1170421	15	0	9.999e-05	9.999e-05
BAZ1B	7	72854728	72936608	29	0	9.999e-05	9.999e-05
BCL7B	7	72950686	72972332	29	0	9.999e-05	9.999e-05
BLK	8	11351510	11422113	25	0	9.999e-05	9.999e-05
C22orf29	22	19833661	19842419	117	3	9.999e-05	9.999e-05
C22orf39	22	19338891	19435755	121	13	9.999e-05	9.999e-05
C8orf74	8	10530147	10558103	21	1	9.999e-05	9.999e-05
CCDC188	22	20135950	20138588	114	0	9.999e-05	9.999e-05
CDC45	22	19466982	19508135	121	13	9.999e-05	9.999e-05
CHRFAM7A	15	30649969	30686052	73	41	9.999e-05	9.999e-05
CLDN23	8	8559448	8561616	19	2	9.999e-05	9.999e-05
CLDN3	7	73183327	73184600	30	0	9.999e-05	9.999e-05
CLDN4	7	73213872	73247023	30	0	9.999e-05	9.999e-05
CLDN5	22	19510547	19515068	121	13	9.999e-05	9.999e-05
CLIP2	7	73703805	73820273	29	0	9.999e-05	9.999e-05
CLTCL1	22	19166986	19279239	120	14	9.999e-05	9.999e-05
CNTNAP3B	9	43684902	43924049	180	149	9.999e-05	9.999e-05
COMT	22	19929130	19957498	112	3	9.999e-05	9.999e-05
CPSF3L	1	1246965	1260071	29	0	9.999e-05	9.999e-05
CPTP	1	1260136	1264277	28	0	9.999e-05	9.999e-05
CTAGE4	7	143880559	143883146	26	1	9.999e-05	9.999e-05
CTD-2135J3.4	8	10582909	10697357	23	5	9.999e-05	9.999e-05
CTSB	8	11700033	11726957	29	2	9.999e-05	9.999e-05
DCXR	17	79993012	79995608	18	0	9.999e-05	9.999e-05
DEFB134	8	11850683	11853821	17	0	9.999e-05	9.999e-05
DEFB135	8	11839830	11842099	21	0	9.999e-05	9.999e-05
DEFB136	8	11831446	11832108	21	0	9.999e-05	9.999e-05
DGCR14	22	19117792	19132197	118	13	9.999e-05	9.999e-05
DGCR2	22	19023795	19109967	118	13	9.999e-05	9.999e-05
DGCR6	22	18893541	18901751	65	42	9.999e-05	9.999e-05
DGCR6L	22	20301799	20307603	105	0	9.999e-05	9.999e-05
DGCR8	22	20067755	20099400	112	0	9.999e-05	9.999e-05
DNAJC30	7	73095299	73097783	29	0	9.999e-05	9.999e-05
DUS1L	17	80015382	80023763	18	1	9.999e-05	9.999e-05
DUSP22	6	291630	351355	453	162	9.999e-05	9.999e-05
DVL1	1	1270656	1284730	25	0	9.999e-05	9.999e-05
EIF4H	7	73588575	73611431	29	0	9.999e-05	9.999e-05
ELN	7	73442119	73484237	30	0	9.999e-05	9.999e-05
ERI1	8	8859657	8974256	21	0	9.999e-05	9.999e-05
FAM167A	8	11278972	11332224	24	0	9.999e-05	9.999e-05
FAM230A	22	20692438	20716938	98	41	9.999e-05	9.999e-05
FDFT1	8	11653082	11696818	31	2	9.999e-05	9.999e-05
FKBP6	7	72742167	72772646	29	0	9.999e-05	9.999e-05
FZD9	7	72848113	72850450	29	0	9.999e-05	9.999e-05
GATA4	8	11534468	11617511	29	0	9.999e-05	9.999e-05
GGTLC3	22	20366211	20368028	92	0	9.999e-05	9.999e-05
GNB1L	22	19770747	19842462	120	14	9.999e-05	9.999e-05
GOLGA8R	15	30695943	30706365	61	30	9.999e-05	9.999e-05
GP1BB	22	19710468	19712294	121	13	9.999e-05	9.999e-05
GPS1	17	80008567	80015346	17	1	9.999e-05	9.999e-05
GSC2	22	19136089	19137796	118	13	9.999e-05	9.999e-05
GTF2I	7	74071994	74175022	25	0	9.999e-05	9.999e-05
GTF2IRD1	7	73868120	74016930	25	0	9.999e-05	9.999e-05
HIRA	22	19318221	19434973	121	13	9.999e-05	9.999e-05
KLHL22	22	20795806	20850170	102	78	9.999e-05	9.999e-05
LAT2	7	73613982	73644164	29	0	9.999e-05	9.999e-05
LIMK1	7	73497263	73536855	30	0	9.999e-05	9.999e-05
LINC00116	2	110969106	111002997	23	3	9.999e-05	9.999e-05
LRRC45	17	79981178	79989027	18	0	9.999e-05	9.999e-05
MAEA	4	1283639	1333935	15	0	9.999e-05	9.999e-05
MALL	2	110841447	110874143	26	5	9.999e-05	9.999e-05
MLXIPL	7	73007524	73038873	29	0	9.999e-05	9.999e-05
MRPL40	22	19419425	19423598	121	13	9.999e-05	9.999e-05
MTMR9	8	11141925	11185655	23	1	9.999e-05	9.999e-05
MUC20	3	195447753	195467994	26	0	9.999e-05	9.999e-05
MXRA8	1	1288069	1297157	25	0	9.999e-05	9.999e-05
NAIP	5	70264310	70320941	59	33	9.999e-05	9.999e-05
NEIL2	8	11627148	11644855	30	1	9.999e-05	9.999e-05
NPHP1	2	110879888	110962643	26	4	9.999e-05	9.999e-05
NSUN5	7	72716514	72722864	15	0	9.999e-05	9.999e-05
OR4M2	15	22368478	22369610	181	163	9.999e-05	9.999e-05
OR4N4	15	22382382	22383507	189	173	9.999e-05	9.999e-05
PINX1	8	10622473	10697394	23	4	9.999e-05	9.999e-05
PPP1R3B	8	8993765	9009084	21	1	9.999e-05	9.999e-05
PRAMEF22	1	13035543	13038381	19	0	9.999e-05	9.999e-05
PRODH	22	18900290	18924066	129	42	9.999e-05	9.999e-05
PRSS55	8	10383056	10411676	21	3	9.999e-05	9.999e-05
PUSL1	1	1243947	1247057	29	0	9.999e-05	9.999e-05
RAC3	17	79989500	79992080	18	0	9.999e-05	9.999e-05
RANBP1	22	20103461	20114880	112	0	9.999e-05	9.999e-05
RFC2	7	73645829	73668788	29	0	9.999e-05	9.999e-05
RFNG	17	80005778	80009707	17	1	9.999e-05	9.999e-05
RIMBP3	22	20455682	20461786	93	0	9.999e-05	9.999e-05
RP11-294C11.1	15	22368478	22369561	181	163	9.999e-05	9.999e-05
RP11-294C11.3	15	22382382	22383578	189	173	9.999e-05	9.999e-05
RP1L1	8	10463859	10569697	29	2	9.999e-05	9.999e-05
RTN4R	22	20228938	20270769	111	1	9.999e-05	9.999e-05
SAPCD2	9	139956576	139965040	15	0	9.999e-05	9.999e-05
SCARF2	22	20778875	20792146	102	60	9.999e-05	9.999e-05
SCNN1D	1	1215816	1227409	16	0	9.999e-05	9.999e-05
SDF4	1	1152288	1167411	15	0	9.999e-05	9.999e-05
SEPT5	22	19701987	19712295	121	13	9.999e-05	9.999e-05
SLC25A1	22	19163088	19166343	118	14	9.999e-05	9.999e-05
SLC35G5	8	11188397	11189717	23	1	9.999e-05	9.999e-05
SNX19	11	130745331	130786404	19	1	9.999e-05	9.999e-05
SOX7	8	10581278	10588022	21	1	9.999e-05	9.999e-05
SPATA31A6	9	43624507	43630730	129	126	9.999e-05	9.999e-05
ST14	11	130029457	130080271	17	1	9.999e-05	9.999e-05
STX1A	7	73113536	73134002	29	0	9.999e-05	9.999e-05
TANGO2	22	20004537	20053449	117	15	9.999e-05	9.999e-05
TAS1R3	1	1266694	1270686	28	0	9.999e-05	9.999e-05
TBL2	7	72983262	72993121	29	0	9.999e-05	9.999e-05
TBX1	22	19744226	19771116	120	13	9.999e-05	9.999e-05
TMEM191B	22	20377669	20380440	92	0	9.999e-05	9.999e-05
TNKS	8	9413424	9639856	20	0	9.999e-05	9.999e-05
TRIM50	7	72726535	72742085	21	0	9.999e-05	9.999e-05
TRMT2A	22	20099389	20104915	112	0	9.999e-05	9.999e-05
TSSK2	22	19118321	19120136	118	13	9.999e-05	9.999e-05
TXNRD2	22	19863040	19929515	114	4	9.999e-05	9.999e-05
UAP1L1	9	139971953	139978991	16	0	9.999e-05	9.999e-05
UFD1L	22	19437433	19466738	121	13	9.999e-05	9.999e-05
USP41	22	20704868	20745048	104	49	9.999e-05	9.999e-05
UVSSA	4	1341054	1381837	15	0	9.999e-05	9.999e-05
VPS37D	7	73082155	73086442	29	0	9.999e-05	9.999e-05
WBSCR22	7	73097355	73119491	29	0	9.999e-05	9.999e-05
WBSCR27	7	73248920	73256865	30	0	9.999e-05	9.999e-05
WBSCR28	7	73275489	73280223	30	0	9.999e-05	9.999e-05
WI2-3308P17.2	1	13052394	13052998	19	0	9.999e-05	9.999e-05
XKR6	8	10753555	11058875	23	1	9.999e-05	9.999e-05
XXbac-B562F10.12	22	20783528	20800907	102	59	9.999e-05	9.999e-05
ZBTB44	11	130096572	130184581	17	1	9.999e-05	9.999e-05
ZDHHC8	22	20116979	20135530	112	0	9.999e-05	9.999e-05
ZNF74	22	20748405	20762751	101	52	9.999e-05	9.999e-05
BARX2	11	129245835	129322174	16	1	9.999e-05	0.00019998
C11orf45	11	128769460	128775930	16	1	9.999e-05	0.00019998
EHMT1	9	140513415	140764468	14	0	9.999e-05	0.00019998
ENTPD2	9	139942550	139948497	14	0	9.999e-05	0.00019998
ETS1	11	128328656	128457453	16	1	9.999e-05	0.00019998
FLI1	11	128556430	128683162	16	1	9.999e-05	0.00019998
HNRNPCL2	1	13182968	13184326	16	1	9.999e-05	0.00019998
HNRNPCL4	1	13182991	13183872	16	1	9.999e-05	0.00019998
KCNJ1	11	128706210	128737268	16	1	9.999e-05	0.00019998
