gene	gene_id	chromosome	start_position	end_position	oe_lof	oe_lof_lower	oe_lof_upper	oe_lof_upper_bin	p_cnv	p_dnw	p_mupit	min_p	p_comb	p_comb_adj_ihw	p_comb_fdr
MED13	ENSG00000108510	17	60019966	60142643	0	0	0.03	0	0.343966	0.123734615783407	1	0.123734615783407	0.17691670997751	1	1
NIPBL	ENSG00000164190	5	36876861	37066515	0.0066527	0.001	0.032	0	0.340366	1	1	1	0.707189932279049	1	1
SMC3	ENSG00000108055	10	112327449	112364394	0	0	0.037	0	0.0137986	1	1	1	0.0729005998857234	1	0.769735870491773
CNOT1	ENSG00000125107	16	58553855	58663790	0.0079978	0.002	0.038	0	1	1	0.0554611470223244	0.0554611470223244	0.215858808307191	1	1
RLF	ENSG00000117000	1	40627045	40706593	0	0	0.04	0	1	1	1	1	1	1	1
PCF11	ENSG00000165494	11	82868030	82898493	0	0	0.04	0	1	1	1	1	1	1	1
FNDC3B	ENSG00000075420	3	171757418	172119455	0	0	0.042	0	0.119288	1	1	1	0.372919880249538	1	1
TAF1	ENSG00000147133	X	70586114	70752224	0	0	0.043	0	1	1	1	1	1	1	1
RSF1	ENSG00000048649	11	77371041	77532063	0	0	0.044	0	1	1	1	1	1	1	1
NCKAP1	ENSG00000061676	2	183773843	183903586	0	0	0.044	0	1	1	1	1	1	1	1
KDM2A	ENSG00000173120	11	66886740	67025558	0	0	0.045	0	0.272373	1	1	1	0.62661664676395	1	1
BRD4	ENSG00000141867	19	15347647	15443356	0	0	0.048	0	0.117688	1	1	1	0.36950715835014	1	1
HELZ	ENSG00000198265	17	65066554	65242105	0.010152	0.003	0.048	0	0.338766	1	1	1	0.705461791683167	1	1
FBN1	ENSG00000166147	15	48700503	48938046	0.018895	0.008	0.049	0	0.567243	1	1	1	0.888851343127232	1	1
XPO1	ENSG00000082898	2	61704984	61765761	0	0	0.051	0	0.120688	1	1	1	0.375888397148703	1	1
PRR12	ENSG00000126464	19	50094900	50129696	0	0	0.051	0	1	1	1	1	1	1	1
USP9X	ENSG00000124486	X	40944888	41095832	0.010698	0.003	0.051	0	1	1	1	1	1	1	1
POLA1	ENSG00000101868	X	24712036	25015103	0	0	0.051	0	1	1	1	1	1	1	1
SYNGAP1	ENSG00000197283	6	33387847	33421466	0	0	0.052	0	1	1	1	1	1	1	1
PRKDC	ENSG00000253729	8	48685669	48872743	0.024934	0.012	0.052	0	1	1	1	1	1	1	1
HDAC4	ENSG00000068024	2	239969864	240323348	0	0	0.052	0	0.268273	1	1	1	0.621253242736334	1	1
SMG1	ENSG00000157106	16	18816175	18937776	0.023202	0.01	0.053	0	1	1	1	1	1	1	1
ZC3H4	ENSG00000130749	19	47567444	47617009	0	0	0.054	0	1	1	1	1	1	1	1
COL5A1	ENSG00000130635	9	137533620	137736686	0.017445	0.006	0.055	0	0.343266	1	1	1	0.710303040802014	1	1
SMARCA4	ENSG00000127616	19	11071598	11176071	0.011662	0.003	0.055	0	0.120888	1	1	1	0.376311140838783	1	1
TNPO1	ENSG00000083312	5	72112139	72212560	0	0	0.056	0	0.337966	1	1	1	0.704594889793547	1	1
AGO1	ENSG00000092847	1	36335409	36395211	0	0	0.057	0	1	1	1	1	1	1	1
ARHGAP35	ENSG00000160007	19	47421933	47508334	0	0	0.057	0	1	1	0.0283522612712708	0.0283522612712708	0.129372742963081	1	1
LRP1	ENSG00000123384	12	57522276	57607134	0.032397	0.018	0.058	0	0.0414959	0.154166573203513	1	0.154166573203513	0.0387155896667939	1	0.521560122690135
TOP1	ENSG00000198900	20	39657458	39753127	0	0	0.059	0	0.334667	1	1	1	0.700999947695979	1	1
TRIP12	ENSG00000153827	2	230628554	230787955	0.018956	0.007	0.06	0	1	1	0.00114291804962068	0.00114291804962068	0.00888523989312386	1	0.199263960547078
KMT2E	ENSG00000005483	7	104654626	104754808	0.012722	0.004	0.06	0	0.121088	1	1	1	0.376733553643926	1	1
HCFC1	ENSG00000172534	X	153213004	153237258	0	0	0.06	0	1	1	1	1	1	1	1
UBTF	ENSG00000108312	17	42282401	42298994	0	0	0.06	0	0.333267	1	1	1	0.699464548340284	1	1
HUWE1	ENSG00000086758	X	53559057	53713673	0.026088	0.012	0.06	0	1	1	1	1	1	1	1
KDM3B	ENSG00000120733	5	137688285	137772717	0.012543	0.003	0.06	0	1	1	1	1	1	1	1
TRRAP	ENSG00000196367	7	98475556	98610866	0.030535	0.016	0.06	0	0.0413959	1	1	1	0.173224183535387	1	1
GRIN2B	ENSG00000273079	12	13693165	14133053	0	0	0.061	0	1	1	1	1	1	1	1
USP7	ENSG00000187555	16	8985951	9058371	0.012958	0.004	0.061	0	1	1	1	1	1	1	1
ATP1A3	ENSG00000105409	19	42470734	42501649	0	0	0.062	0	1	1	1	1	1	1	1
ASH1L	ENSG00000116539	1	155305059	155532598	0.023938	0.01	0.062	0	1	1	0.00225880302208916	0.00225880302208916	0.0160215096786283	1	0.278591414221583
ANKRD17	ENSG00000132466	4	73939093	74124515	0.019796	0.007	0.062	0	0.570243	1	1	1	0.890544326454621	1	1
SMC1A	ENSG00000072501	X	53401070	53449677	0	0	0.062	0	1	1	1	1	1	1	1
NPEPPS	ENSG00000141279	17	45600308	45700642	0	0	0.062	0	1	1	1	1	1	1	1
CHERP	ENSG00000085872	19	16628700	16653341	0	0	0.062	0	0.0125987	1	1	1	0.0677074503162409	1	0.769735870491773
MED13L	ENSG00000123066	12	116395711	116715143	0.020314	0.007	0.064	0	0.269573	4.57781170621013e-07	0.0010856903156406	4.57781170621013e-07	2.08651339942627e-06	0.0121808343996811	0.00235616457228154
