hgnc	chrom	all	syn	mis	non	splice_site	frameshift
A1BG	19	2.43627373113191e-05	7.95442519936689e-06	1.55739349858339e-05	5.64621552972766e-07	2.48257911514849e-07	9.42519274734455e-07
A1CF	10	2.3584866484028e-05	6.33829228500575e-06	1.53579662359504e-05	1.42746063135482e-06	4.43287924817767e-07	1.14584500537286e-06
A2M	12	5.85556869624542e-05	1.70969720652448e-05	3.92649667469969e-05	2.17717293935373e-06	NA	2.80285469802534e-06
A2ML1	12	6.06545052735253e-05	1.75507426333403e-05	3.94333162969519e-05	1.99346132759758e-06	1.6518492984184e-06	2.76484988857495e-06
A4GALT	22	2.45624234442588e-05	8.25071668770222e-06	1.58866902339455e-05	3.82900324003348e-07	2.31143580965098e-08	6.72685127539081e-07
A4GNT	3	1.37396849207018e-05	3.82957069554983e-06	9.37256009062414e-06	4.76454182909781e-07	4.12534405923958e-08	6.47982001376506e-07
AAAS	12	2.48143039905437e-05	6.3919334783126e-06	1.64721161099527e-05	1.25634326839672e-06	6.8065441540297e-07	1.03943153886272e-06
AACS	12	3.34760928363906e-05	1.09601900166364e-05	2.10025650849471e-05	7.47325551906618e-07	7.47968145644732e-07	1.27886183848945e-06
AADAC	3	1.51328047679445e-05	4.23450864986158e-06	1.01645795146817e-05	5.30419895551669e-07	1.7678857387696e-07	7.60096189305892e-07
AADACL2	3	1.45822583188565e-05	3.67242088954355e-06	9.78599558139755e-06	9.32345324657811e-07	1.71635896642695e-07	7.63896670240974e-07
AADACL3	1	1.51305287914065e-05	4.43616377054778e-06	1.02161907560638e-05	3.69020442560129e-07	8.7375044787815e-08	6.66984406119204e-07
AADACL4	1	1.86464046975081e-05	5.27327644536794e-06	1.27445348821137e-05	4.6470634290024e-07	1.35343112126396e-07	7.75298113088586e-07
AADAT	4	1.56553245528705e-05	4.13729278741248e-06	1.0558667798551e-05	4.48061075211326e-07	5.11302891796034e-07	8.09502441601908e-07
